Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tarik Crnovrsanin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,11.0,48.0,70.0,-1.0,-1.0,42.0,66.0,77.0,17.0,43.0,7.0,6.0,24.0,32.0
Torsten Möller,27.0,5.0,2.0,10.0,1.0,24.0,18.0,54.0,61.0,-1.0,7.0,49.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Catherine Plaisant,-1.0,-1.0,0.0,28.0,0.0,-1.0,-1.0,38.0,24.0,32.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,42.0,59.0,-1.0,-1.0,-1.0,-1.0
Cláudio T. Silva,33.0,1.0,19.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,50.0,63.0,-1.0,-1.0,-1.0,20.0,48.0,64.0,1.0,27.0,39.0,-1.0
Nathalie Henry Riche,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,22.0,43.0,0.0,9.0,2.0,19.0,52.0,72.0,8.0,1.0,6.0,33.0,51.0,-1.0,-1.0
Shixia Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.0,6.0,6.0,2.0,8.0,52.0,12.0,39.0,55.0,-1.0,-1.0
Tamara Munzner,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,26.0,45.0,3.0,18.0,52.0,0.0,0.0,7.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wenwen Dou,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,33.0,6.0,7.0,3.0,28.0,57.0,16.0,41.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0
Vijay Natarajan,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,32.0,16.0,7.0,8.0,-1.0,30.0,50.0,24.0,22.0,14.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kwan-Liu Ma,11.0,9.0,8.0,7.0,8.0,37.0,49.0,20.0,8.0,11.0,48.0,22.0,14.0,35.0,62.0,-1.0,12.0,41.0,58.0,7.0,6.0,24.0,-1.0
Ben Shneiderman,-1.0,2.0,20.0,17.0,6.0,36.0,4.0,45.0,56.0,10.0,47.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Martin Wattenberg,-1.0,2.0,20.0,17.0,45.0,60.0,-1.0,1.0,1.0,0.0,44.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Patricia Crossno,37.0,42.0,17.0,36.0,28.0,48.0,58.0,39.0,53.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wei Chen 0001,-1.0,-1.0,-1.0,-1.0,11.0,38.0,50.0,-1.0,-1.0,-1.0,-1.0,37.0,54.0,71.0,28.0,56.0,70.0,-1.0,20.0,7.0,13.0,30.0,0.0
Huamin Qu,13.0,20.0,34.0,19.0,47.0,62.0,-1.0,-1.0,33.0,19.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,13.0,3.0,-1.0,-1.0
Steffen Koch 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,30.0,27.0,6.0,30.0,18.0,39.0,23.0,-1.0,-1.0,-1.0,-1.0,17.0,25.0
Steven Mark Drucker,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,26.0,2.0,5.0,45.0,69.0,19.0,47.0,2.0,31.0,0.0,-1.0,-1.0
Hamish A. Carr,-1.0,5.0,2.0,10.0,3.0,33.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,41.0,64.0,-1.0,16.0,45.0,62.0,-1.0,-1.0,-1.0,-1.0
Jarke J. van Wijk,22.0,17.0,5.0,11.0,5.0,35.0,3.0,40.0,34.0,25.0,53.0,4.0,38.0,57.0,12.0,49.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Xavier Tricoche,4.0,4.0,9.0,30.0,7.0,9.0,33.0,15.0,20.0,20.0,13.0,35.0,28.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ross T. Whitaker,-1.0,-1.0,1.0,1.0,18.0,41.0,-1.0,-1.0,27.0,3.0,18.0,-1.0,-1.0,8.0,9.0,46.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Melanie Tory,-1.0,-1.0,-1.0,13.0,1.0,24.0,18.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,50.0,25.0,14.0,28.0,18.0,40.0,10.0,-1.0
Hendrik Strobelt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,45.0,13.0,-1.0,-1.0,-1.0,15.0,26.0,0.0,0.0,11.0,34.0,43.0,-1.0
Jens H. Krüger,-1.0,-1.0,-1.0,0.0,38.0,54.0,6.0,46.0,28.0,21.0,27.0,-1.0,-1.0,-1.0,32.0,62.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
David Gotz,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,52.0,4.0,25.0,53.0,6.0,5.0,29.0,58.0,-1.0,-1.0,-1.0,-1.0,19.0,22.0,36.0,-1.0
John T. Stasko,2.0,22.0,10.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,13.0,0.0,9.0,2.0,39.0,63.0,-1.0,-1.0,3.0,2.0,31.0,-1.0,6.0,16.0
Chris North 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,57.0,76.0,13.0,26.0,21.0,32.0,50.0,73.0,-1.0,-1.0,20.0,34.0,39.0
Kresimir Matkovic,-1.0,-1.0,2.0,20.0,48.0,19.0,39.0,67.0,26.0,22.0,26.0,55.0,67.0,-1.0,33.0,31.0,49.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0
Filip Sadlo,-1.0,-1.0,-1.0,-1.0,17.0,40.0,19.0,8.0,37.0,48.0,-1.0,-1.0,22.0,23.0,31.0,34.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jian Zhao 0010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,2.0,7.0,8.0,2.0,8.0,19.0,45.0,59.0,6.0,24.0,32.0
Frank van Ham,-1.0,17.0,5.0,11.0,5.0,35.0,3.0,44.0,17.0,0.0,44.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stefan Bruckner,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,7.0,14.0,41.0,17.0,7.0,49.0,62.0,-1.0,36.0,63.0,31.0,58.0,73.0,-1.0,-1.0,-1.0,-1.0
Harish Doraiswamy,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,22.0,14.0,20.0,22.0,48.0,12.0,9.0,27.0,35.0
Julien Tierny,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,46.0,68.0,12.0,34.0,61.0,-1.0,16.0,45.0,62.0,-1.0,9.0,27.0,35.0
Robert Kosara,-1.0,3.0,21.0,37.0,-1.0,-1.0,-1.0,-1.0,12.0,37.0,6.0,7.0,3.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,21.0
Christoph Heinzl,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,44.0,53.0,22.0,31.0,51.0,67.0,7.0,45.0,58.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Carlos Scheidegger,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,15.0,40.0,65.0,-1.0,-1.0,-1.0,14.0,36.0,52.0,77.0,-1.0,-1.0,16.0,32.0,38.0
Zhicheng Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,13.0,0.0,9.0,2.0,-1.0,2.0,10.0,21.0,-1.0,21.0,45.0,61.0,-1.0,-1.0
Peter Rautek,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,14.0,41.0,17.0,-1.0,-1.0,-1.0,-1.0,36.0,63.0,31.0,57.0,72.0,-1.0,21.0,35.0,40.0
Pak Chung Wong,8.0,25.0,32.0,12.0,12.0,18.0,38.0,66.0,-1.0,30.0,58.0,77.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Petra Isenberg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,0.0,10.0,26.0,2.0,3.0,8.0,24.0,14.0,43.0,60.0,-1.0,-1.0,-1.0,-1.0
Thomas Ertl,7.0,16.0,7.0,43.0,37.0,53.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,55.0,71.0,-1.0,-1.0,-1.0,-1.0
Aritra Dasgupta,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,7.0,3.0,65.0,22.0,14.0,20.0,6.0,37.0,26.0,45.0,52.0,-1.0
Peer-Timo Bremer,-1.0,-1.0,-1.0,27.0,52.0,66.0,-1.0,17.0,7.0,8.0,46.0,-1.0,18.0,38.0,27.0,55.0,69.0,4.0,23.0,28.0,47.0,-1.0,-1.0
Jeffrey Heer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.0,2.0,1.0,8.0,14.0,41.0,60.0,2.0,10.0,21.0,21.0,65.0,-1.0,-1.0,-1.0,-1.0
Markus Hadwiger,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,40.0,15.0,-1.0,29.0,9.0,17.0,25.0,-1.0,-1.0,23.0,24.0,47.0,21.0,-1.0,-1.0
Gennady L. Andrienko,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,5.0,2.0,21.0,5.0,4.0,18.0,51.0,71.0,-1.0,5.0,35.0,54.0,24.0,-1.0,-1.0
Attila Gyulassy,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,32.0,16.0,7.0,8.0,46.0,68.0,18.0,38.0,27.0,18.0,2.0,35.0,23.0,28.0,47.0,54.0,-1.0
Christopher R. Johnson 0001,7.0,16.0,33.0,21.0,14.0,39.0,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,52.0,18.0,33.0,10.0
Johanna Beyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,40.0,15.0,25.0,54.0,9.0,17.0,25.0,26.0,45.0,23.0,-1.0,14.0,36.0,45.0,-1.0
Jens Schneider 0002,-1.0,-1.0,-1.0,0.0,38.0,54.0,6.0,46.0,28.0,-1.0,25.0,54.0,66.0,-1.0,-1.0,-1.0,31.0,57.0,72.0,-1.0,-1.0,-1.0,-1.0
Anastasia Bezerianos,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,43.0,0.0,26.0,2.0,3.0,8.0,-1.0,9.0,20.0,46.0,4.0,-1.0,-1.0,-1.0
Jo Wood,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,10.0,12.0,19.0,17.0,2.0,3.0,8.0,57.0,18.0,-1.0,14.0,40.0,56.0,-1.0,-1.0
Jimmy Johansson 0001,-1.0,-1.0,-1.0,-1.0,35.0,5.0,29.0,9.0,-1.0,14.0,50.0,71.0,-1.0,-1.0,-1.0,3.0,35.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0
Daniel Weiskopf,-1.0,-1.0,7.0,6.0,9.0,9.0,33.0,-1.0,-1.0,6.0,30.0,27.0,71.0,12.0,47.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Holger Theisel,-1.0,-1.0,-1.0,3.0,13.0,11.0,35.0,27.0,13.0,38.0,14.0,39.0,21.0,21.0,38.0,20.0,30.0,56.0,30.0,50.0,65.0,-1.0,-1.0
