,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
47,1,3,female,missing,0,0,Cheap,Q
48,0,3,male,missing,2,0,Medium,C
49,0,3,female,Adult,1,0,Cheap,S
50,0,3,male,Child,4,1,Medium,S
51,0,3,male,Adult,0,0,Cheap,S
52,1,1,female,Adult,1,0,Medium,C
53,1,2,female,Adult,1,0,Medium,S
54,0,1,male,Adult,0,1,Medium,C
55,1,1,male,missing,0,0,Medium,S
56,1,2,female,Adult,0,0,Cheap,S
57,0,3,male,Adult,0,0,Cheap,C
58,1,2,female,Child,1,2,Medium,S
59,0,3,male,Child,5,2,Medium,S
60,0,3,male,Adult,0,0,Cheap,C
61,1,1,female,Adult,0,0,Medium,S
62,0,1,male,Adult,1,0,Medium,S
63,0,3,male,Child,3,2,Medium,S
64,0,1,male,missing,0,0,Medium,C
65,1,3,male,missing,1,1,Cheap,C
66,1,2,female,Adult,0,0,Cheap,S
67,0,3,male,Adult,0,0,Cheap,S
68,1,3,female,Child,4,2,Cheap,S
69,0,3,male,Adult,2,0,Cheap,S
70,0,2,male,Adult,0,0,Cheap,S
71,0,3,female,Child,5,2,Medium,S
72,0,2,male,Adult,0,0,Medium,S
73,0,3,male,Adult,1,0,Cheap,C
74,1,3,male,Adult,0,0,Medium,S
75,0,3,male,Adult,0,0,Cheap,S
76,0,3,male,missing,0,0,Cheap,S
77,0,3,male,missing,0,0,Cheap,S
78,1,2,male,Baby,0,2,Medium,S
79,1,3,female,Adult,0,0,Cheap,S
80,0,3,male,Adult,0,0,Cheap,S
81,1,3,male,Adult,0,0,Cheap,S
82,1,3,female,missing,0,0,Cheap,Q
83,0,1,male,Adult,0,0,Medium,S
84,1,2,female,Child,0,0,Cheap,S
85,1,3,female,Adult,3,0,Cheap,S
86,0,3,male,Child,1,3,Medium,S
87,0,3,male,missing,0,0,Cheap,S
88,1,1,female,Adult,3,2,Pricey,S
89,0,3,male,Adult,0,0,Cheap,S
90,0,3,male,Adult,0,0,Cheap,S
91,0,3,male,Adult,0,0,Cheap,S
92,0,1,male,Adult,1,0,Medium,S
93,0,3,male,Adult,1,2,Medium,S
94,0,3,male,Adult,0,0,Cheap,S
95,0,3,male,missing,0,0,Cheap,S
96,0,1,male,Elderly,0,0,Medium,C
97,1,1,male,Adult,0,1,Medium,C
98,1,2,female,Adult,0,1,Medium,S
99,0,2,male,Adult,1,0,Medium,S
100,0,3,female,Adult,0,0,Cheap,S
101,0,3,male,missing,0,0,Cheap,S
102,0,1,male,Adult,0,1,Medium,S
103,0,3,male,Adult,0,0,Cheap,S
104,0,3,male,Adult,2,0,Cheap,S
105,0,3,male,Adult,0,0,Cheap,S
106,1,3,female,Adult,0,0,Cheap,S
107,1,3,male,missing,0,0,Cheap,S
108,0,3,male,Adult,0,0,Cheap,S
109,1,3,female,missing,1,0,Medium,Q
110,0,1,male,Adult,0,0,Medium,S
111,0,3,female,Child,1,0,Cheap,C
112,0,3,male,Adult,0,0,Cheap,S
113,0,3,female,Adult,1,0,Cheap,S
114,0,3,female,Child,0,0,Cheap,C
115,0,3,male,Adult,0,0,Cheap,S
116,0,3,male,Elderly,0,0,Cheap,Q
117,0,2,male,Adult,1,0,Medium,S
118,0,1,male,Adult,0,1,Pricey,C
119,0,3,female,Baby,4,2,Medium,S
120,0,2,male,Adult,2,0,Medium,S
121,0,3,male,missing,0,0,Cheap,S
122,0,2,male,Adult,1,0,Medium,C
123,1,2,female,Adult,0,0,Cheap,S
124,0,1,male,Adult,0,1,Medium,S
125,1,3,male,Child,1,0,Cheap,C
126,0,3,male,missing,0,0,Cheap,Q
127,1,3,male,Adult,0,0,Cheap,S
128,1,3,female,missing,1,1,Medium,C
129,0,3,male,Adult,0,0,Cheap,S
130,0,3,male,Adult,0,0,Cheap,C
131,0,3,male,Adult,0,0,Cheap,S
132,0,3,female,Adult,1,0,Cheap,S
133,1,2,female,Adult,1,0,Medium,S
134,0,2,male,Adult,0,0,Cheap,S
135,0,2,male,Adult,0,0,Cheap,C
136,1,1,female,Adult,0,2,Medium,S
137,0,1,male,Adult,1,0,Medium,S
138,0,3,male,Child,0,0,Cheap,S
139,0,1,male,Adult,0,0,Medium,C
140,0,3,female,missing,0,2,Cheap,C
141,1,3,female,Adult,0,0,Cheap,S
142,1,3,female,Adult,1,0,Cheap,S
143,0,3,male,Adult,0,0,Cheap,Q
144,0,2,male,Adult,0,0,Cheap,S
145,0,2,male,Adult,1,1,Medium,S
146,1,3,male,Adult,0,0,Cheap,S
147,0,3,female,Child,2,2,Medium,S
148,0,2,male,Adult,0,2,Medium,S
149,0,2,male,Adult,0,0,Cheap,S
150,0,2,male,Adult,0,0,Cheap,S
151,1,1,female,Adult,1,0,Medium,S
152,0,3,male,Adult,0,0,Cheap,S
153,0,3,male,Adult,0,2,Cheap,S
154,0,3,male,missing,0,0,Cheap,S
155,0,1,male,Adult,0,1,Medium,C
156,1,3,female,Child,0,0,Cheap,Q
157,0,3,male,Adult,0,0,Cheap,S
158,0,3,male,missing,0,0,Cheap,S
159,0,3,male,missing,8,2,Medium,S
160,0,3,male,Adult,0,1,Cheap,S
161,1,2,female,Adult,0,0,Cheap,S
162,0,3,male,Adult,0,0,Cheap,S
163,0,3,male,Child,0,0,Cheap,S
164,0,3,male,Baby,4,1,Medium,S
165,1,3,male,Child,0,2,Medium,S
166,1,1,female,missing,0,1,Medium,S
167,0,3,female,Adult,1,4,Medium,S
168,0,1,male,missing,0,0,Medium,S
169,0,3,male,Adult,0,0,Medium,S
170,0,1,male,Adult,0,0,Medium,S
171,0,3,male,Child,4,1,Medium,Q
172,1,3,female,Baby,1,1,Cheap,S
173,0,3,male,Adult,0,0,Cheap,S
174,0,1,male,Adult,0,0,Medium,C
175,0,3,male,Adult,1,1,Cheap,S
176,0,3,male,missing,3,1,Medium,S
177,0,1,female,Adult,0,0,Medium,C
178,0,2,male,Adult,0,0,Cheap,S
179,0,3,male,Adult,0,0,missing,S
180,0,3,female,missing,8,2,Medium,S
181,0,2,male,missing,0,0,Cheap,C
182,0,3,male,Child,4,2,Medium,S
183,1,2,male,Baby,2,1,Medium,S
184,1,3,female,Child,0,2,Medium,S
185,0,1,male,missing,0,0,Medium,S
186,1,3,female,missing,1,0,Cheap,Q
187,1,1,male,Adult,0,0,Medium,S
188,0,3,male,Adult,1,1,Cheap,Q
189,0,3,male,Adult,0,0,Cheap,S
190,1,2,female,Adult,0,0,Cheap,S
191,0,2,male,Adult,0,0,Cheap,S
192,1,3,female,Adult,1,0,Cheap,S
193,1,2,male,Child,1,1,Medium,S
194,1,1,female,Adult,0,0,Medium,C
195,1,1,female,Adult,0,0,Pricey,C
196,0,3,male,missing,0,0,Cheap,Q
197,0,3,male,Adult,0,1,Cheap,S
198,1,3,female,missing,0,0,Cheap,Q
199,0,2,female,Adult,0,0,Cheap,S
200,0,3,male,Adult,0,0,Cheap,S
201,0,3,male,missing,8,2,Medium,S
202,0,3,male,Adult,0,0,Cheap,S
203,0,3,male,Adult,0,0,Cheap,C
204,1,3,male,Adult,0,0,Cheap,S
205,0,3,female,Baby,0,1,Cheap,S
206,0,3,male,Adult,1,0,Cheap,S
207,1,3,male,Adult,0,0,Cheap,C
208,1,3,female,Child,0,0,Cheap,Q
209,1,1,male,Adult,0,0,Medium,C
210,0,3,male,Adult,0,0,Cheap,S
211,1,2,female,Adult,0,0,Medium,S
212,0,3,male,Adult,0,0,Cheap,S
213,0,2,male,Adult,0,0,Cheap,S
214,0,3,male,missing,1,0,Cheap,Q
215,1,1,female,Adult,1,0,Pricey,C
216,1,3,female,Adult,0,0,Cheap,S
217,0,2,male,Adult,1,0,Medium,S
218,1,1,female,Adult,0,0,Medium,C
219,0,2,male,Adult,0,0,Cheap,S
220,1,3,male,Child,0,0,Cheap,S
221,0,2,male,Adult,0,0,Cheap,S
222,0,3,male,Adult,0,0,Cheap,S
223,0,3,male,missing,0,0,Cheap,S
224,1,1,male,Adult,1,0,Medium,S
225,0,3,male,Adult,0,0,Cheap,S
226,1,2,male,Adult,0,0,Cheap,S
227,0,3,male,Adult,0,0,Cheap,S
228,0,2,male,Adult,0,0,Cheap,S
229,0,3,female,missing,3,1,Medium,S
230,1,1,female,Adult,1,0,Medium,S
231,0,3,male,Adult,0,0,Cheap,S
232,0,2,male,Adult,0,0,Cheap,S
233,1,3,female,Child,4,2,Medium,S
234,0,2,male,Adult,0,0,Cheap,S
235,0,3,female,missing,0,0,Cheap,S
236,0,2,male,Adult,1,0,Medium,S
237,1,2,female,Child,0,2,Medium,S
238,0,2,male,Adult,0,0,Cheap,S
239,0,2,male,Adult,0,0,Cheap,S
240,0,3,female,missing,1,0,Cheap,C
241,1,3,female,missing,1,0,Cheap,Q
242,0,2,male,Adult,0,0,Cheap,S
243,0,3,male,Adult,0,0,Cheap,S
244,0,3,male,Adult,0,0,Cheap,C
245,0,1,male,Adult,2,0,Medium,Q
246,0,3,female,Adult,0,0,Cheap,S
247,1,2,female,Adult,0,2,Cheap,S
248,1,1,male,Adult,1,1,Medium,S
249,0,2,male,Adult,1,0,Medium,S
250,0,3,male,missing,0,0,Cheap,S
251,0,3,female,Adult,1,1,Cheap,S
252,0,1,male,Adult,0,0,Medium,S
253,0,3,male,Adult,1,0,Cheap,S
254,0,3,female,Adult,0,2,Medium,S
255,1,3,female,Adult,0,2,Cheap,C
256,1,1,female,missing,0,0,Medium,C
257,1,1,female,Adult,0,0,Medium,S
258,1,1,female,Adult,0,0,Pricey,C
259,1,2,female,Adult,0,1,Medium,S
260,0,3,male,missing,0,0,Cheap,Q
261,1,3,male,Child,4,2,Medium,S
262,0,1,male,Adult,1,1,Medium,S
263,0,1,male,Adult,0,0,missing,S
264,0,3,female,missing,0,0,Cheap,Q
265,0,2,male,Adult,0,0,Cheap,S
266,0,3,male,Child,4,1,Medium,S
267,1,3,male,Adult,1,0,Cheap,S
268,1,1,female,Adult,0,1,Pricey,S
269,1,1,female,Adult,0,0,Pricey,S
270,0,1,male,missing,0,0,Medium,S
271,1,3,male,Adult,0,0,missing,S
272,1,2,female,Adult,0,1,Cheap,S
273,0,1,male,Adult,0,1,Medium,C
274,1,3,female,missing,0,0,Cheap,Q
275,1,1,female,Adult,1,0,Medium,S
276,0,3,female,Adult,0,0,Cheap,S
277,0,2,male,missing,0,0,missing,S
278,0,3,male,Child,4,1,Medium,Q
279,1,3,female,Adult,1,1,Medium,S
280,0,3,male,Adult,0,0,Cheap,Q
281,0,3,male,Adult,0,0,Cheap,S
282,0,3,male,Child,0,0,Cheap,S
283,1,3,male,Adult,0,0,Cheap,S
284,0,1,male,missing,0,0,Medium,S
285,0,3,male,Adult,0,0,Cheap,C
286,1,3,male,Adult,0,0,Cheap,S
287,0,3,male,Adult,0,0,Cheap,S
288,1,2,male,Adult,0,0,Cheap,S
289,1,3,female,Adult,0,0,Cheap,Q
290,1,1,female,Adult,0,0,Medium,S
291,1,1,female,Adult,1,0,Medium,C
292,0,2,male,Adult,0,0,Cheap,C
293,0,3,female,Adult,0,0,Cheap,S
294,0,3,male,Adult,0,0,Cheap,S
295,0,1,male,missing,0,0,Medium,C
296,0,3,male,Adult,0,0,Cheap,C
297,0,1,female,Baby,1,2,Pricey,S
298,1,1,male,missing,0,0,Medium,S
299,1,1,female,Adult,0,1,Pricey,C
300,1,3,female,missing,0,0,Cheap,Q
301,1,3,male,missing,2,0,Medium,Q
302,0,3,male,Adult,0,0,missing,S
303,1,2,female,missing,0,0,Cheap,Q
304,0,3,male,missing,0,0,Cheap,S
305,1,1,male,Baby,1,2,Pricey,S
306,1,1,female,missing,0,0,Pricey,C
307,1,1,female,Child,1,0,Pricey,C
308,0,2,male,Adult,1,0,Medium,C
309,1,1,female,Adult,0,0,Medium,C
310,1,1,female,Adult,0,0,Medium,C
311,1,1,female,Adult,2,2,Pricey,C
312,0,2,female,Adult,1,1,Medium,S
313,0,3,male,Adult,0,0,Cheap,S
314,0,2,male,Adult,1,1,Medium,S
315,1,3,female,Adult,0,0,Cheap,S
316,1,2,female,Adult,1,0,Medium,S
317,0,2,male,Adult,0,0,Cheap,S
318,1,1,female,Adult,0,2,Pricey,S
319,1,1,female,Adult,1,1,Pricey,C
320,0,3,male,Adult,0,0,Cheap,S
321,0,3,male,Adult,0,0,Cheap,S
322,1,2,female,Adult,0,0,Cheap,Q
323,1,2,female,Adult,1,1,Medium,S
324,0,3,male,missing,8,2,Medium,S
325,1,1,female,Adult,0,0,Pricey,C
326,0,3,male,Adult,0,0,Cheap,S
327,1,2,female,Adult,0,0,Cheap,S
328,1,3,female,Adult,1,1,Medium,S
329,1,1,female,Child,0,1,Medium,C
330,1,3,female,missing,2,0,Medium,Q
331,0,1,male,Adult,0,0,Medium,S
332,0,1,male,Adult,0,1,Pricey,S
333,0,3,male,Child,2,0,Cheap,S
334,1,1,female,missing,1,0,Pricey,S
335,0,3,male,missing,0,0,Cheap,S
336,0,1,male,Adult,1,0,Medium,S
337,1,1,female,Adult,0,0,Pricey,C
338,1,3,male,Adult,0,0,Cheap,S
339,0,1,male,Adult,0,0,Medium,S
340,1,2,male,Baby,1,1,Medium,S
341,1,1,female,Adult,3,2,Pricey,S
342,0,2,male,Adult,0,0,Cheap,S
343,0,2,male,Adult,0,0,Cheap,S
344,0,2,male,Adult,0,0,Cheap,S
345,1,2,female,Adult,0,0,Cheap,S
346,1,2,female,Adult,0,0,Cheap,S
347,1,3,female,missing,1,0,Cheap,S
348,1,3,male,Child,1,1,Cheap,S
349,0,3,male,Adult,0,0,Cheap,S
350,0,3,male,Adult,0,0,Cheap,S
351,0,1,male,missing,0,0,Medium,S
352,0,3,male,Child,1,1,Cheap,C
353,0,3,male,Adult,1,0,Cheap,S
354,0,3,male,missing,0,0,Cheap,C
355,0,3,male,Adult,0,0,Cheap,S
356,1,1,female,Adult,0,1,Medium,S
357,0,2,female,Adult,0,0,Cheap,S
358,1,3,female,missing,0,0,Cheap,Q
359,1,3,female,missing,0,0,Cheap,Q
360,0,3,male,Adult,1,4,Medium,S
361,0,2,male,Adult,1,0,Medium,C
362,0,3,female,Adult,0,1,Cheap,C
363,0,3,male,Adult,0,0,Cheap,S
364,0,3,male,missing,1,0,Cheap,Q
365,0,3,male,Adult,0,0,Cheap,S
366,1,1,female,Adult,1,0,Medium,C
367,1,3,female,missing,0,0,Cheap,C
368,1,3,female,missing,0,0,Cheap,Q
369,1,1,female,Adult,0,0,Medium,C
370,1,1,male,Adult,1,0,Medium,C
371,0,3,male,Adult,1,0,Cheap,S
372,0,3,male,Adult,0,0,Cheap,S
373,0,1,male,Adult,0,0,Pricey,C
374,0,3,female,Child,3,1,Medium,S
375,1,1,female,missing,1,0,Medium,C
376,1,3,female,Adult,0,0,Cheap,S
377,0,1,male,Adult,0,2,Pricey,C
378,0,3,male,Adult,0,0,Cheap,C
379,0,3,male,Adult,0,0,Cheap,S
380,1,1,female,Adult,0,0,Pricey,C
381,1,3,female,Baby,0,2,Cheap,C
382,0,3,male,Adult,0,0,Cheap,S
383,1,1,female,Adult,1,0,Medium,S
384,0,3,male,missing,0,0,Cheap,S
385,0,2,male,Adult,0,0,Medium,S
386,0,3,male,Baby,5,2,Medium,S
387,1,2,female,Adult,0,0,Cheap,S
388,0,3,male,missing,0,0,Cheap,Q
389,1,2,female,Child,0,0,Cheap,C
390,1,1,male,Adult,1,2,Pricey,S
391,1,3,male,Adult,0,0,Cheap,S
392,0,3,male,Adult,2,0,Cheap,S
393,1,1,female,Adult,1,0,Pricey,C
394,1,3,female,Adult,0,2,Cheap,S
395,0,3,male,Adult,0,0,Cheap,S
396,0,3,female,Adult,0,0,Cheap,S
397,0,2,male,Adult,0,0,Medium,S
398,0,2,male,Adult,0,0,Cheap,S
399,1,2,female,Adult,0,0,Cheap,S
400,1,3,male,Adult,0,0,Cheap,S
401,0,3,male,Adult,0,0,Cheap,S
402,0,3,female,Adult,1,0,Cheap,S
403,0,3,male,Adult,1,0,Cheap,S
404,0,3,female,Adult,0,0,Cheap,S
405,0,2,male,Adult,1,0,Medium,S
406,0,3,male,Adult,0,0,Cheap,S
407,1,2,male,Child,1,1,Cheap,S
408,0,3,male,Adult,0,0,Cheap,S
409,0,3,female,missing,3,1,Medium,S
410,0,3,male,missing,0,0,Cheap,S
411,0,3,male,missing,0,0,Cheap,Q
412,1,1,female,Adult,1,0,Medium,Q
413,0,2,male,missing,0,0,missing,S
414,1,3,male,Adult,0,0,Cheap,S
415,0,3,female,missing,0,0,Cheap,S
416,1,2,female,Adult,1,1,Medium,S
417,1,2,female,Adult,0,2,Cheap,S
418,0,2,male,Adult,0,0,Cheap,S
419,0,3,female,Child,0,2,Medium,S
420,0,3,male,missing,0,0,Cheap,C
421,0,3,male,Adult,0,0,Cheap,Q
422,0,3,male,Adult,0,0,Cheap,S
423,0,3,female,Adult,1,1,Cheap,S
424,0,3,male,Adult,1,1,Medium,S
425,0,3,male,missing,0,0,Cheap,S
426,1,2,female,Adult,1,0,Medium,S
427,1,2,female,Adult,0,0,Medium,S
428,0,3,male,missing,0,0,Cheap,Q
429,1,3,male,Adult,0,0,Cheap,S
430,1,1,male,Adult,0,0,Medium,S
431,1,3,female,missing,1,0,Cheap,S
432,1,2,female,Adult,1,0,Medium,S
433,0,3,male,Child,0,0,Cheap,S
434,0,1,male,Adult,1,0,Medium,S
435,1,1,female,Child,1,2,Pricey,S
436,0,3,female,Adult,2,2,Medium,S
437,1,2,female,Adult,2,3,Cheap,S
438,0,1,male,Adult,1,4,Pricey,S
439,0,2,male,Adult,0,0,Cheap,S
440,1,2,female,Adult,1,1,Medium,S
441,0,3,male,Adult,0,0,Cheap,S
442,0,3,male,Adult,1,0,Cheap,S
443,1,2,female,Adult,0,0,Cheap,S
444,1,3,male,missing,0,0,Cheap,S
445,1,1,male,Child,0,2,Medium,S
446,1,2,female,Child,0,1,Cheap,S
447,1,1,male,Adult,0,0,Medium,S
448,1,3,female,Child,2,1,Cheap,C
449,1,1,male,Adult,0,0,Medium,S
450,0,2,male,Adult,1,2,Medium,S
451,0,3,male,missing,1,0,Cheap,S
452,0,1,male,Adult,0,0,Medium,C
453,1,1,male,Adult,1,0,Medium,C
454,0,3,male,missing,0,0,Cheap,S
455,1,3,male,Adult,0,0,Cheap,C
456,0,1,male,Adult,0,0,Medium,S
457,1,1,female,missing,1,0,Medium,S
458,1,2,female,Adult,0,0,Cheap,S
459,0,3,male,missing,0,0,Cheap,Q
460,1,1,male,Adult,0,0,Medium,S
461,0,3,male,Adult,0,0,Cheap,S
462,0,1,male,Adult,0,0,Medium,S
463,0,2,male,Adult,0,0,Cheap,S
464,0,3,male,missing,0,0,Cheap,S
465,0,3,male,Adult,0,0,Cheap,S
466,0,2,male,missing,0,0,missing,S
467,0,1,male,Adult,0,0,Medium,S
468,0,3,male,missing,0,0,Cheap,Q
469,1,3,female,Baby,2,1,Cheap,C
470,0,3,male,missing,0,0,Cheap,S
471,0,3,male,Adult,0,0,Cheap,S
472,1,2,female,Adult,1,2,Medium,S
473,1,2,female,Adult,0,0,Cheap,C
474,0,3,female,Adult,0,0,Cheap,S
475,0,1,male,missing,0,0,Medium,S
476,0,2,male,Adult,1,0,Medium,S
477,0,3,male,Adult,1,0,Cheap,S
478,0,3,male,Adult,0,0,Cheap,S
479,1,3,female,Baby,0,1,Cheap,S
480,0,3,male,Child,5,2,Medium,S
481,0,2,male,missing,0,0,missing,S
482,0,3,male,Adult,0,0,Cheap,S
483,1,3,female,Adult,0,0,Cheap,S
484,1,1,male,Adult,1,0,Medium,C
485,0,3,female,missing,3,1,Medium,S
486,1,1,female,Adult,1,0,Medium,S
487,0,1,male,Adult,0,0,Medium,C
488,0,3,male,Adult,0,0,Cheap,S
489,1,3,male,Child,1,1,Cheap,S
490,0,3,male,missing,1,0,Cheap,S
491,0,3,male,Adult,0,0,Cheap,S
492,0,1,male,Adult,0,0,Medium,S
493,0,1,male,Elderly,0,0,Medium,C
494,0,3,male,Adult,0,0,Cheap,S
495,0,3,male,missing,0,0,Cheap,C
496,1,1,female,Adult,1,0,Medium,C
497,0,3,male,missing,0,0,Cheap,S
498,0,1,female,Adult,1,2,Pricey,S
499,0,3,male,Adult,0,0,Cheap,S
500,0,3,male,Child,0,0,Cheap,S
501,0,3,female,Adult,0,0,Cheap,Q
502,0,3,female,missing,0,0,Cheap,Q
503,0,3,female,Adult,0,0,Cheap,S
504,1,1,female,Child,0,0,Medium,S
505,0,1,male,Adult,1,0,Pricey,C
506,1,2,female,Adult,0,2,Medium,S
507,1,1,male,missing,0,0,Medium,S
508,0,3,male,Adult,0,0,Medium,S
509,1,3,male,Adult,0,0,Medium,S
510,1,3,male,Adult,0,0,Cheap,Q
511,0,3,male,missing,0,0,Cheap,S
512,1,1,male,Adult,0,0,Medium,S
513,1,1,female,Adult,1,0,Medium,C
514,0,3,male,Adult,0,0,Cheap,S
515,0,1,male,Adult,0,0,Medium,S
516,1,2,female,Adult,0,0,Cheap,S
517,0,3,male,missing,0,0,Medium,Q
518,1,2,female,Adult,1,0,Medium,S
519,0,3,male,Adult,0,0,Cheap,S
520,1,1,female,Adult,0,0,Medium,S
521,0,3,male,Adult,0,0,Cheap,S
522,0,3,male,missing,0,0,Cheap,C
523,1,1,female,Adult,0,1,Medium,C
524,0,3,male,missing,0,0,Cheap,C
525,0,3,male,Adult,0,0,Cheap,Q
526,1,2,female,Adult,0,0,Cheap,S
527,0,1,male,missing,0,0,Pricey,S
528,0,3,male,Adult,0,0,Cheap,S
529,0,2,male,Adult,2,1,Cheap,S
530,1,2,female,Baby,1,1,Medium,S
531,0,3,male,missing,0,0,Cheap,C
532,0,3,male,Child,1,1,Cheap,C
533,1,3,female,missing,0,2,Medium,C
534,0,3,female,Adult,0,0,Cheap,S
535,1,2,female,Child,0,2,Medium,S
536,0,1,male,Adult,0,0,Medium,S
537,1,1,female,Adult,0,0,Pricey,C
538,0,3,male,missing,0,0,Cheap,S
539,1,1,female,Adult,0,2,Medium,C
540,1,1,female,Adult,0,2,Medium,S
541,0,3,female,Child,4,2,Medium,S
542,0,3,female,Child,4,2,Medium,S
543,1,2,male,Adult,1,0,Medium,S
544,0,1,male,Adult,1,0,Pricey,C
545,0,1,male,Adult,0,0,Medium,S
546,1,2,female,Adult,1,0,Medium,S
547,1,2,male,missing,0,0,Cheap,C
548,0,3,male,Adult,1,1,Medium,S
549,1,2,male,Child,1,1,Medium,S
550,1,1,male,Child,0,2,Pricey,C
551,0,2,male,Adult,0,0,Medium,S
552,0,3,male,missing,0,0,Cheap,Q
553,1,3,male,Adult,0,0,Cheap,C
554,1,3,female,Adult,0,0,Cheap,S
555,0,1,male,Adult,0,0,Medium,S
556,1,1,female,Adult,1,0,Medium,C
557,0,1,male,missing,0,0,Pricey,C
558,1,1,female,Adult,1,1,Medium,S
559,1,3,female,Adult,1,0,Cheap,S
560,0,3,male,missing,0,0,Cheap,Q
561,0,3,male,Adult,0,0,Cheap,S
562,0,2,male,Adult,0,0,Cheap,S
563,0,3,male,missing,0,0,Cheap,S
564,0,3,female,missing,0,0,Cheap,S
565,0,3,male,Adult,2,0,Medium,S
566,0,3,male,Adult,0,0,Cheap,S
567,0,3,female,Adult,0,4,Medium,S
568,0,3,male,missing,0,0,Cheap,C
569,1,3,male,Adult,0,0,Cheap,S
570,1,2,male,Adult,0,0,Cheap,S
571,1,1,female,Adult,2,0,Medium,S
572,1,1,male,Adult,0,0,Medium,S
573,1,3,female,missing,0,0,Cheap,Q
574,0,3,male,Child,0,0,Cheap,S
575,0,3,male,Adult,0,0,Cheap,S
576,1,2,female,Adult,0,0,Cheap,S
577,1,1,female,Adult,1,0,Medium,S
578,0,3,female,missing,1,0,Cheap,C
579,1,3,male,Adult,0,0,Cheap,S
580,1,2,female,Adult,1,1,Medium,S
581,1,1,female,Adult,1,1,Pricey,C
582,0,2,male,Adult,0,0,Medium,S
583,0,1,male,Adult,0,0,Medium,C
584,0,3,male,missing,0,0,Cheap,C
585,1,1,female,Adult,0,2,Medium,S
586,0,2,male,Adult,0,0,Cheap,S
587,1,1,male,Adult,1,1,Medium,C
588,0,3,male,Adult,0,0,Cheap,S
589,0,3,male,missing,0,0,Cheap,S
590,0,3,male,Adult,0,0,Cheap,S
591,1,1,female,Adult,1,0,Medium,C
592,0,3,male,Adult,0,0,Cheap,S
593,0,3,female,missing,0,2,Cheap,Q
594,0,2,male,Adult,1,0,Medium,S
595,0,3,male,Adult,1,1,Medium,S
596,1,2,female,missing,0,0,Medium,S
597,0,3,male,Adult,0,0,missing,S
598,0,3,male,missing,0,0,Cheap,C
599,1,1,male,Adult,1,0,Medium,C
600,1,2,female,Adult,2,1,Medium,S
601,0,3,male,missing,0,0,Cheap,S
602,0,1,male,missing,0,0,Medium,S
603,0,3,male,Adult,0,0,Cheap,S
604,1,1,male,Adult,0,0,Medium,C
605,0,3,male,Adult,1,0,Cheap,S
606,0,3,male,Adult,0,0,Cheap,S
607,1,1,male,Adult,0,0,Medium,S
608,1,2,female,Adult,1,2,Medium,C
609,1,1,female,Adult,0,0,Pricey,S
610,0,3,female,Adult,1,5,Medium,S
611,0,3,male,missing,0,0,Cheap,S
612,1,3,female,missing,1,0,Cheap,Q
613,0,3,male,missing,0,0,Cheap,Q
614,0,3,male,Adult,0,0,Cheap,S
615,1,2,female,Adult,1,2,Medium,S
616,0,3,male,Adult,1,1,Cheap,S
617,0,3,female,Adult,1,0,Cheap,S
618,1,2,female,Child,2,1,Medium,S
619,0,2,male,Adult,0,0,Cheap,S
620,0,3,male,Adult,1,0,Cheap,C
621,1,1,male,Adult,1,0,Medium,S
