Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Abish Malik,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,21.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Yanhong Wu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,1.0,13.0,17.0,24.0,-1.0,-1.0
Jürgen Waser,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,6.0,16.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pat Hanrahan,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,17.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Zhen Wen,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,17.0,2.0,17.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Nils Gehlenborg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,24.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
R. Jordan Crouser,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,19.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,14.0,-1.0
Gregory L. Schussman,4.0,4.0,5.0,-1.0,5.0,12.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jean Scholtz,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,25.0,-1.0,-1.0,-1.0,-1.0,13.0,25.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jason Dykes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,12.0,10.0,2.0,12.0,-1.0,-1.0,10.0,20.0,23.0,-1.0,-1.0,-1.0,-1.0
Martin Kraus,-1.0,9.0,4.0,-1.0,-1.0,8.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Anushka Anand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,10.0,-1.0,20.0,14.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tim Dwyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,5.0,0.0,4.0,2.0,14.0,25.0,-1.0,3.0,16.0,4.0,-1.0,5.0,-1.0,-1.0
Michael Böttinger,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,13.0,2.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Alireza Entezari,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,19.0,28.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Penny Rheingans,0.0,12.0,13.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Xiaotong Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,7.0,18.0,1.0,-1.0,-1.0,-1.0,-1.0
Fanny Chevalier,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2.0,6.0,6.0,12.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Andrada Tatu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,1.0,19.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Donghao Ren,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,11.0,2.0,-1.0,-1.0,2.0,0.0,13.0,-1.0,-1.0
Charles Perin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,12.0,33.0,-1.0,-1.0,2.0,-1.0,4.0,-1.0
Markus John,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,23.0,14.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0
Samuel Huron,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,12.0,1.0,-1.0,-1.0,12.0,20.0,-1.0,-1.0
Daniel Jönsson,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,17.0,24.0,19.0,-1.0,-1.0,-1.0,-1.0
Bahador Saket,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,4.0,17.0,17.0,12.0,20.0,-1.0,-1.0
Po-Ming Law,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,26.0,13.0,17.0,24.0,-1.0,-1.0
Tarik Crnovrsanin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,7.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,12.0,8.0
Ke Xu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,3.0,1.0,1.0,-1.0
Raphael Fuchs,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,6.0,16.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Torsten Möller,10.0,2.0,0.0,6.0,1.0,9.0,11.0,19.0,28.0,-1.0,4.0,23.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dong Hyun Jeong,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,19.0,3.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cláudio T. Silva,12.0,1.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Nathalie Henry Riche,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,12.0,24.0,0.0,4.0,2.0,14.0,25.0,-1.0,6.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
Tera Marie Green,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,3.0,9.0,8.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stanislav L. Stoev,5.0,3.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Vidya Setlur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,14.0,26.0,-1.0,-1.0,9.0,-1.0,7.0,-1.0
Marco Ament,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,15.0,-1.0,16.0,21.0,19.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Shixia Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.0,4.0,0.0,6.0,23.0,7.0,-1.0,-1.0,-1.0,-1.0
Ivan Viola,-1.0,-1.0,-1.0,6.0,2.0,10.0,14.0,6.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Veronika Soltészová,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,4.0,23.0,15.0,23.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sarah Goodwin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,12.0,-1.0,-1.0,10.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0
Rudolf Netzel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,-1.0,8.0,19.0,22.0,-1.0,-1.0,-1.0,-1.0
Tamara Munzner,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,21.0,2.0,11.0,-1.0,0.0,0.0,5.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wenwen Dou,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,19.0,3.0,3.0,3.0,19.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
Vijay Natarajan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,4.0,6.0,-1.0,-1.0,-1.0,17.0,15.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kwan-Liu Ma,4.0,4.0,5.0,4.0,5.0,12.0,20.0,-1.0,5.0,7.0,23.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,12.0,-1.0
Christopher Collins 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,0.0,20.0,8.0,-1.0,6.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Fritz Lekschas,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,8.0,18.0,16.0,-1.0
Harald Piringer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,25.0,-1.0,8.0,7.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bernice E. Rogowitz,-1.0,7.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Martin Wattenberg,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,20.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wei Chen 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,4.0,6.0,13.0,0.0
Lukas Mroz,3.0,5.0,0.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tobias Günther,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,10.0,19.0,25.0,18.0,19.0,25.0,-1.0,-1.0
Danyel Fisher,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,14.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jean-Daniel Fekete,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,12.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Justin Talbot,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,9.0,-1.0,10.0,14.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Christian Partl,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,24.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Huamin Qu,6.0,11.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,2.0,-1.0,-1.0
Steffen Koch 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,17.0,15.0,-1.0,-1.0,12.0,23.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Rüdiger Westermann,1.0,9.0,-1.0,0.0,16.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Alexandru C. Telea,9.0,10.0,2.0,7.0,3.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Marcel Hlawatsch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,8.0,19.0,22.0,-1.0,-1.0,-1.0,-1.0
Panpan Xu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.0,0.0,-1.0,3.0,8.0,6.0,2.0,5.0,-1.0
Weiwei Cui,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.0,4.0,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Steven Mark Drucker,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,14.0,2.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,15.0,0.0,-1.0,-1.0
Yao Ming,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,2.0,5.0,3.0
Wolfgang Straßer,5.0,3.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Anders Ynnerman,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,24.0,-1.0,-1.0,17.0,24.0,19.0,5.0,15.0,-1.0,-1.0
Jarke J. van Wijk,9.0,10.0,2.0,7.0,3.0,11.0,2.0,-1.0,-1.0,17.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Xavier Tricoche,-1.0,-1.0,6.0,11.0,4.0,3.0,17.0,7.0,11.0,13.0,9.0,18.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Robert S. Laramee,-1.0,-1.0,-1.0,3.0,6.0,3.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ross T. Whitaker,-1.0,-1.0,-1.0,1.0,10.0,15.0,-1.0,-1.0,16.0,2.0,11.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Daniel Archambault,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cagatay Turkay,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,23.0,17.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Shehzad Afzal,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,21.0,13.0,29.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Melanie Tory,-1.0,-1.0,-1.0,-1.0,1.0,9.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,5.0,17.0,9.0,-1.0,7.0,-1.0
